日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/01/02,"32,900,482","7,276,419,230",226.50,226.50,219.00,219.50,-6.00,"12,329"
108/01/03,"34,615,620","7,459,051,790",214.00,218.00,214.00,215.50,-4.00,"14,549"
108/01/04,"67,043,521","13,987,136,785",211.50,211.50,206.50,208.00,-7.50,"28,786"
108/01/07,"35,695,176","7,591,116,569",212.00,214.00,211.00,213.00,+5.00,"11,224"
108/01/08,"23,794,481","5,019,703,557",212.00,212.50,210.00,211.00,-2.00,"9,377"
108/01/09,"51,255,446","11,006,827,093",212.00,216.50,211.00,215.50,+4.50,"14,098"
108/01/10,"20,832,593","4,491,377,349",216.00,216.50,214.50,216.00,+0.50,"6,018"
108/01/11,"28,658,288","6,296,719,320",219.00,220.50,218.00,220.50,+4.50,"11,198"
108/01/14,"17,612,296","3,844,735,324",218.50,220.00,217.00,218.50,-2.00,"6,469"
108/01/15,"42,990,923","9,399,209,983",216.50,221.00,215.50,221.00,+2.50,"11,609"
108/01/16,"30,038,282","6,563,789,758",218.50,220.00,217.50,217.50,-3.50,"8,950"
108/01/17,"21,163,986","4,646,131,841",218.00,221.00,218.00,220.50,+3.00,"8,288"
108/01/18,"52,677,569","11,530,053,787",219.00,220.00,217.50,218.50,-2.00,"15,157"
108/01/21,"32,515,866","7,208,829,658",220.00,223.00,220.00,221.00,+2.50,"10,549"
108/01/22,"30,958,483","6,854,867,566",220.00,223.00,219.00,223.00,+2.00,"8,258"
108/01/23,"18,671,213","4,121,110,926",221.50,222.00,220.00,220.50,-2.50,"7,059"
108/01/24,"31,348,924","6,958,753,608",222.50,222.50,220.50,222.50,+2.00,"6,291"
108/01/25,"48,039,764","10,870,045,150",226.50,227.00,225.00,226.00,+3.50,"14,979"
108/01/28,"29,134,257","6,665,379,096",229.50,229.50,228.00,229.00,+3.00,"10,189"
108/01/29,"42,566,520","9,486,156,460",222.50,225.00,222.00,222.50,-6.50,"13,344"
108/01/30,"51,889,945","11,453,957,730",220.50,221.50,220.00,221.00,-1.50,"12,858"
108/02/11,"81,360,106","18,546,167,132",228.00,229.00,226.50,228.00,+7.00,"21,689"
108/02/12,"30,125,670","6,921,488,930",230.00,230.00,229.00,230.00,+2.00,"13,313"
108/02/13,"28,634,925","6,575,201,825",232.00,232.00,228.50,229.00,-1.00,"10,230"
108/02/14,"23,647,751","5,392,943,977",229.50,230.00,226.00,227.00,-2.00,"6,873"
108/02/15,"22,369,799","5,093,773,373",229.00,229.00,226.50,227.00, 0.00,"5,743"
108/02/18,"18,163,916","4,169,729,625",229.00,230.50,228.50,230.00,+3.00,"7,035"
108/02/19,"18,423,023","4,228,108,427",230.00,230.50,229.00,229.00,-1.00,"6,471"
108/02/20,"31,887,710","7,430,197,670",231.50,234.50,231.00,234.50,+5.50,"14,241"
108/02/21,"34,013,489","8,013,908,284",235.50,236.50,234.50,236.50,+2.00,"11,443"
108/02/22,"22,032,163","5,187,054,985",235.50,236.50,234.00,236.50, 0.00,"6,913"
108/02/25,"25,227,138","5,995,746,054",237.50,239.00,236.00,238.00,+1.50,"8,527"
108/02/26,"24,586,789","5,864,298,571",239.00,240.00,236.50,239.50,+1.50,"7,994"
