日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/01/02,"10,632,677","214,564,858",20.15,20.35,20.10,20.10, 0.00,"2,706"
108/01/03,"9,248,924","186,364,854",20.10,20.25,20.10,20.10, 0.00,"2,375"
108/01/04,"13,442,390","270,504,048",20.05,20.20,20.00,20.20,+0.10,"3,544"
108/01/07,"17,140,517","347,951,875",20.35,20.35,20.20,20.30,+0.10,"5,256"
108/01/08,"18,851,552","382,764,260",20.35,20.40,20.20,20.30, 0.00,"4,713"
108/01/09,"30,540,683","630,816,145",20.40,20.75,20.40,20.70,+0.40,"7,430"
108/01/10,"14,448,305","300,107,214",20.70,20.90,20.60,20.90,+0.20,"4,218"
108/01/11,"22,663,179","474,976,759",20.95,21.00,20.85,21.00,+0.10,"5,716"
108/01/14,"14,260,781","299,023,451",21.00,21.05,20.90,21.00, 0.00,"2,658"
108/01/15,"21,864,981","460,404,449",21.00,21.15,20.95,21.10,+0.10,"4,161"
108/01/16,"12,388,072","260,304,794",21.10,21.10,20.95,21.00,-0.10,"3,469"
108/01/17,"21,690,257","453,354,047",20.75,21.00,20.75,20.95,-0.05,"4,931"
108/01/18,"17,191,958","362,232,875",20.95,21.20,20.90,21.20,+0.25,"3,919"
108/01/21,"17,278,537","368,110,972",21.20,21.40,21.20,21.40,+0.20,"4,970"
108/01/22,"15,799,084","336,642,641",21.35,21.40,21.20,21.35,-0.05,"3,655"
108/01/23,"8,528,305","180,342,672",21.15,21.20,21.05,21.15,-0.20,"3,303"
108/01/24,"16,379,843","345,262,536",21.05,21.15,20.95,21.15, 0.00,"4,322"
108/01/25,"20,060,543","424,651,398",21.05,21.25,21.00,21.20,+0.05,"4,164"
108/01/28,"16,403,381","347,595,615",21.20,21.30,21.10,21.30,+0.10,"5,517"
108/01/29,"17,623,536","373,810,544",21.30,21.35,21.10,21.25,-0.05,"4,578"
108/01/30,"22,941,765","489,284,558",21.20,21.40,21.15,21.35,+0.10,"4,135"
108/02/11,"33,091,690","710,635,811",21.55,21.55,21.40,21.45,+0.10,"5,298"
108/02/12,"19,366,347","418,143,349",21.45,21.70,21.45,21.60,+0.15,"5,843"
108/02/13,"35,292,778","772,336,525",21.70,21.95,21.70,21.90,+0.30,"9,652"
108/02/14,"26,146,806","571,309,459",21.90,21.95,21.80,21.80,-0.10,"5,192"
108/02/15,"17,396,581","376,050,159",21.80,21.80,21.50,21.55,-0.25,"5,840"
108/02/18,"32,264,795","697,104,480",21.70,21.80,21.55,21.70,+0.15,"4,232"
108/02/19,"13,151,214","284,606,069",21.70,21.70,21.60,21.60,-0.10,"4,075"
108/02/20,"19,235,820","417,982,275",21.65,21.80,21.60,21.80,+0.20,"6,477"
108/02/21,"9,963,302","216,715,600",21.80,21.85,21.70,21.80, 0.00,"4,193"
108/02/22,"9,365,478","203,992,033",21.80,21.85,21.70,21.85,+0.05,"3,304"
108/02/25,"16,397,075","359,420,550",21.85,22.00,21.80,22.00,+0.15,"5,097"
108/02/26,"22,280,489","490,753,848",22.00,22.10,22.00,22.00, 0.00,"4,449"
108/02/27,"15,955,745","351,425,824",22.00,22.10,21.95,22.10,+0.10,"6,003"
108/03/04,"21,210,359","467,781,887",22.10,22.15,21.90,22.15,+0.05,"5,358"
108/03/05,"10,525,092","232,832,476",22.10,22.20,22.05,22.15, 0.00,"3,147"
108/03/06,"8,142,403","180,417,476",22.15,22.20,22.10,22.20,+0.05,"3,240"
108/03/07,"18,982,539","423,353,579",22.25,22.40,22.20,22.20, 0.00,"5,830"
108/03/08,"14,495,688","320,441,724",22.20,22.20,22.05,22.10,-0.10,"4,688"
108/03/11,"17,094,711","377,884,238",22.10,22.25,22.10,22.10, 0.00,"3,288"
108/03/12,"15,492,035","345,867,523",22.20,22.40,22.15,22.40,+0.30,"3,658"
108/03/13,"9,702,405","216,917,234",22.40,22.40,22.30,22.40, 0.00,"3,171"
108/03/14,"12,200,386","273,031,152",22.40,22.45,22.35,22.35,-0.05,"3,048"
108/03/15,"24,696,972","555,425,636",22.40,22.55,22.40,22.50,+0.15,"5,968"
108/03/18,"47,059,910","1,085,721,614",22.90,23.15,22.90,23.10,+0.60,"12,039"
108/03/19,"36,203,389","840,373,396",23.10,23.30,23.10,23.30,+0.20,"6,974"
108/03/20,"29,333,578","682,259,736",23.30,23.35,23.15,23.30, 0.00,"6,329"
108/03/21,"20,301,644","472,193,856",23.30,23.35,23.15,23.35,+0.05,"4,943"
108/03/22,"26,046,727","611,911,096",23.35,23.60,23.30,23.60,+0.25,"6,507"
108/03/25,"23,683,265","555,594,224",23.40,23.60,23.35,23.45,-0.15,"6,263"
108/03/26,"21,406,266","503,369,956",23.50,23.65,23.45,23.55,+0.10,"5,570"
108/03/27,"27,254,609","640,520,580",23.60,23.60,23.45,23.45,-0.10,"6,424"
108/03/28,"19,536,735","457,819,315",23.40,23.60,23.35,23.60,+0.15,"5,640"
108/03/29,"20,673,474","488,600,875",23.60,23.75,23.50,23.75,+0.15,"4,803"
108/04/01,"19,728,466","470,841,839",23.80,23.95,23.75,23.85,+0.10,"6,148"
108/04/02,"17,598,299","420,845,576",23.90,24.00,23.85,24.00,+0.15,"5,884"
108/04/03,"24,033,481","574,587,394",24.00,24.00,23.80,24.00, 0.00,"6,083"
108/04/08,"24,269,843","582,566,082",24.00,24.15,23.90,23.95,-0.05,"5,335"
108/04/09,"26,886,595","642,959,030",24.00,24.00,23.80,24.00,+0.05,"7,173"
108/04/10,"13,819,952","331,043,998",23.95,24.00,23.90,24.00, 0.00,"4,275"
108/04/11,"17,368,700","414,662,773",23.95,24.00,23.80,23.90,-0.10,"5,049"
108/04/12,"26,332,630","625,723,346",23.90,23.90,23.70,23.85,-0.05,"6,808"
108/04/15,"20,294,657","483,438,530",23.85,24.00,23.70,24.00,+0.15,"4,964"
108/04/16,"8,156,422","195,288,098",23.95,24.00,23.90,23.90,-0.10,"3,220"
108/04/17,"8,934,021","214,125,354",23.95,24.00,23.95,23.95,+0.05,"3,077"
108/04/18,"14,803,441","354,664,784",23.90,24.00,23.90,24.00,+0.05,"2,690"
108/04/19,"8,359,668","200,921,232",24.00,24.10,23.95,24.10,+0.10,"2,808"
108/04/22,"11,058,454","267,267,640",24.15,24.20,24.10,24.20,+0.10,"3,311"
108/04/23,"15,158,767","367,188,146",24.20,24.30,24.15,24.25,+0.05,"3,816"
108/04/24,"17,526,507","425,927,132",24.30,24.40,24.25,24.25, 0.00,"3,883"
108/04/25,"10,888,297","264,252,361",24.25,24.35,24.20,24.25, 0.00,"2,553"
108/04/26,"23,147,707","569,567,722",24.35,24.80,24.30,24.75,+0.50,"6,854"
108/04/29,"30,003,220","760,773,790",24.95,25.80,24.95,25.40,+0.65,"8,949"
108/04/30,"19,037,351","482,648,769",25.40,25.45,25.25,25.35,-0.05,"5,151"
108/05/02,"17,795,477","453,353,649",25.35,25.55,25.35,25.50,+0.15,"6,307"
108/05/03,"23,069,540","584,309,590",25.50,25.55,25.25,25.30,-0.20,"6,615"
108/05/06,"37,132,240","927,552,122",25.10,25.10,24.70,25.00,-0.30,"8,449"
